78,Who faced off Snipe in the final exam?,Who faced off Snipe in the final exam?,NULL,0,0,0
79, Which one is not a �Pro Hero�?, Which one is not a �Pro Hero�?,NULL,0,0,0
80,What is All Might�s real name?,What is All Might�s real name?,NULL,0,0,0
81,How many students qualified for the Cavalry Battle?,How many students qualified for the Cavalry Battle?,NULL,0,0,0
82,Which Shoto�s side is fire?,Which Shoto�s side is fire?,NULL,0,0,0
83,gues the agent by his ultimate voice ,gues the agent by his ultimate voice ,NULL,0,0,0
84,What is the name of the Grand Master of the Knights of Favonius?,What is the name of the Grand Master of the Knights of Favonius?,NULL,0,0,0
85,What is the name of the Chef at Wanmin Restaurant?,What is the name of the Chef at Wanmin Restaurant?,NULL,0,0,0
86,Which of these superheroes is Tenya's brother?,Which of these superheroes is Tenya's brother?,NULL,0,0,0
87,"Who does All Might, the world's greatest hero, pass his powers to?","Who does All Might, the world's greatest hero, pass his powers to?",NULL,0,0,0
88,What school does Izuku dream of having powers and attending as a child?,What school does Izuku dream of having powers and attending as a child?,NULL,0,0,0
89, What quirk does Kasuki Bakugo have?, What quirk does Kasuki Bakugo have?,NULL,0,0,0
90,"� Where does Izuku train, in order to be able to receive All Might's power?","� Where does Izuku train, in order to be able to receive All Might's power?",NULL,0,0,0
91,Who is the class president of Class-A?,Who is the class president of Class-A?,NULL,0,0,0
92,Who did Izuku fight to protect Koda?,Who did Izuku fight to protect Koda?,NULL,0,0,0
93, Who is the most perverted character in My Hero Academia?, Who is the most perverted character in My Hero Academia?,NULL,0,0,0
94,Who was the winner of U.A. Sports Festival Arc?,Who was the winner of U.A. Sports Festival Arc?,NULL,0,0,0
95,What version did Scaramouche first appeared?,What version did Scaramouche first appeared?,NULL,0,0,0
